"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
2;"R1";"SLIDER_POT";1;"SLIDER_POT";;;
3;",,,,,,";"buzzardLabel";7;"";;;
4;"C2,C1";"0603C";2;"0.1uF";;;
5;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
6;"K1,K2";"HEADER_MALE_3X1";2;"HEADER_MALE_3X1";;;
7;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
8;"H1,H4,H3,H2";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
9;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
10;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
